,raw_affiliation,DOI
75,"centre de ciència i tecnologia forestal de catalunya (ctfc), ctra. st. llorenç de morunys km 2, solsona, 25280, spain",1
76,"centre de ciència i tecnologia forestal de catalunya (ctfc), ctra. st. llorenç de morunys km 2, 25280 solsona, spain",1
77,"centre de ciència i tecnologia forestal de catalunya (ctfc), crta. antiga st llorenç de morunys km. 2, 25280 solsona, spain",1
78,"centre de ciència i tecnologia forestal de catalunya (ctfc), 25280 solsona, catalonia, spain",1
79,centre de ciència i tecnologia forestal de catalunya (ctfc) solsona spain,1
80,centre de ciència i tecnologia forestal de catalunya,1
81,"centre per a la sostenibilitat territorial (cst), 17178 sant privat d’en bas, catalonia, spain",1
82,"centre of research in agrotechnology (agrotecnio), lleida 25198, spain",1
83,"centre of marine sciences (ccmar), universidade do algarve, campus de gambelas, faro, portugal",1
84,"centre of ecological research and forestry applications, es-08193 bellaterra, spain",1
85,"centre of ecological research and forestry applications (creaf), bellaterra, spain",1
86,"centre for research on ecology and forestry applications (creaf), cerdanyola del valles, spain",1
87,"centre for ecological research and forestry applications, 08193 cerdanyola del vallés, spain",1
88,"centre for ecological research and forestry applications (creaf), cerdanyola del valles 08193, spain",1
89,"centre for ecological research and forestry applications (creaf), autonomous university of barcelona (uab) cerdanyola del vallès spain",1
90,"centre for ecological research and forestry applications (creaf), 08193, cerdanyola del valles, spain",1
91,"centre for ecological research and forestry applications (creaf), 08193, bellaterra, spain",1
92,centre for ecological research and forestry applications (creaf) cerdanyola del vallès catalonia spain,1
93,centre for ecological research and forestry applications (creaf)  cerdanyola del vallès spain,1
94,centre for ecological research and forestry applications (creaf)  cerdanyola del vallès catalonia spain,1
95,"centre for agro-food economy and development (creda-upc-irta), spain",1
96,"centre de recerca i educació ambiental de calafell (creac), grenp/aj, 43882 calafell, spain",1
97,"centro de investigación en biodiversidad y cambio global (cibc-uam), universidad autónoma de madrid, madrid, spain",1
98,"centro de investigación en biodiversidad y cambio global (cibc – uam), universidad autónoma de madrid, c/ darwin 2, 28049 madrid, spain",1
99,centro de investigación forestal instituto nacional de investigación y tecnología agraria y alimentaria carretera coruña km 7.5 madrid e‐28040 spain,1
100,"csic, e08193 bellaterra (cerdanyola del vallès), catalonia, spain",1
101,"csic, cerdanyola del vallés, spain",1
102,"csic, cerdanyola del vallés  barcelona spain",1
103,"csic, cerdanyola del valles, spain",1
104,"csic, bellaterra, barcelona, 08193 spain",1
105,"csic, 08193 cerdanyola del vallés, spain",1
106,csic consejo superior de investigaciones científicas cerdanyola del vallès spain,1
107,centro de investigaciones sobre desertificación (cide‐csic)  valencia spain,1
108,"centro de investigaciones sobre desertificación (cide-csic), 46113 montcada, valencia, spain",1
109,"centro de investigaciones sobre desertificaci on (csic-uv-gv), carretera moncada-n aquera km 4.5, 46113, moncada (valencia), spain",1
110,"centro de investigaciones sobre desertificación (cide csic-uv-gv), carretera de moncada-náquera km 4.5, moncada, valencia, 46113, spain",1
111,"centro tecnológico forestal de cataluña, universidad de lérida, solsona, spain",1
112,"centro integrado de fp de almázcara, junta de castilla y león, 24398 congosto, spain",1
113,"conservation biology group (gbic), forest science and technology centre of catalonia (ctfc), solsona, spain",1
114,"conservation biology group (gbic), forest science and technology centre of catalonia (ctfc), solsona, spain",1
115,"consell superior d’investigacions científiques (csic), 28006 madrid, spain",1
116,"consejo superior de investigaciones científicas, es-08193 cerdanyola del vallès, spain",1
117,"consejería de sostenibilidad, medio ambiente y economía azul, junta de andalucía, 41013 seville, spain",1
118,"chemical engineering department, universidad de vigo (campus ourense). edificio politécnico. as lagoas, 32004, ourense, spain",1
119,"chemical department, universitat autònoma de barcelona (campus uab). cerdanyola del vallès, 08193, barcelona, spain",1
120,"chemical analysis service, faculty of science, autonomous university of barcelona (uab), 08193 bellaterra (cerdanyola del vallès), barcelona, spain",1
121,"centro de investigacão em biodiversidade e recursos genéticos (inbio/cibio-iceta), universidade do porto, vairão, portugal",1
122,"centro de investigación y tecnología agroalimentaria de aragón (cita), spain",1
123,"centro de investigación y tecnología agroalimentaria de aragón (cita) , forestales y medio ambiente, , avda. montañana 930, e-50059 zaragoza , spain",1
124,"centro de investigación en biodiversidad y cambio global, universidad autónoma de madrid, madrid, spain",1
125,"centro de investigación en biodiversidad y cambio global, universidad autónoma de madrid (cibc-uam), 28049 madrid, spain",1
126,"centro de investigación en biodiversidad y cambio global (cibc‑uam), universidad autónoma de madrid, madrid, spain",1
127,centro de investigación en biodiversidad y cambio global (cibc‐uam) universidad autónoma de madrid  madrid spain,1
128,centro de investigación en biodiversidad y cambio global (cibc‐uam) autonomous university of madrid  madrid spain,1
129,"conservation biology group. landscape dynamics and biodiversity programme, forest science and technology center of catalonia (ctfc), solsona, catalonia, spain",1
130,"conservation biology group. landscape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), solsona, catalonia, spain",1
131,"conservation biology group, landspcape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), crta. sant llorenç de morunys, km 2, 25280 solsona, spain",1
132,"conservation biology group, landscape dynamics and biodiversity programme, forest science and technology center of catalonia (ctfc), solsona, spain",1
133,"conservation biology group, landscape dynamics and biodiversity programme, forest science and technology center of catalonia (ctfc), solsona, spain",1
134,"conservation biology group, landscape dynamics and biodiversity programme, forest science and technology center of catalonia (ctfc), 25280 solsona, spain;",1
135,"conservation biology group, landscape dynamics and biodiversity programme, forest science and technology center of catalonia (ctfc), 25280 solsona, spain",1
136,"conservation biology group, landscape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), km 2, solsona 25280, spain",1
137,"conservation biology group, landscape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), 25180 solsona, spain",1
138,"conservation biology group, landscape dynamics and biodiversity program, forest science and technology center of catalonia (ctfc), solsona, spain",1
139,"conservation biology group, landscape dynamics and biodiversity program, conservation biology group (gbic), forest science and technology centre of catalonia (ctfc), solsona, spain",1
140,"conservation biology group, forest science and technology centre of catalonia (ctfc), crta. sant llorenç de morunys, km 2, solsona, spain",1
141,conservation biology group forest science and technology centre of catalonia (ctfc)  solsona spain,1
142,"conservation biology group (gbic), landscape dynamics and biodiversity program, centre de ciència i tecnologia forestal de catalunya (ctfc), solsona, catalonia, spain",1
143,"conservation biology group (gbic), landscape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), solsona, catalonia, spain",1
144,"conservation biology group (gbic), landscape dynamics and biodiversity program, forest science and technology centre of catalonia (ctfc), crtra. sant llorenç de morunys, km 2, 25280 solsona, spain.",1
145,"departament de biologia evolutiva, ecologia i ciències ambientals, institut de recerca de la biodiversitat (irbio), universitat de barcelona, avinguda diagonal 643, 08028, barcelona, catalonia, spain",1
146,"departament de biologia animal, biologia vegetal i ecologia, universitat autònoma de barcelona, barcelona, spain.",1
147,"departament de biociències, universitat de vic-universitat central de catalunya, 08500 vic, catalonia, spain",1
148,"departa-mento de ecología y gestión costera, instituto de ciencias marinas de andalucía (icman-csic), cádiz, spain",1
149,"depart. of food and animal sciences, universitat autònoma de barcelona, bellaterra 08193, spain",1
150,"deparment of crop and forest sciences, university of lleida, 25198, lleida, spain",1
151,"dep. crop and forest sciences, university of lleida, av. alcalde rovira roure 191, e25198, lleida, spain",1
152,"dep. crop and forest sciences, university of lleida, av. alcalde rovira roure 191, e25198 lleida, spain",1
153,"dendrolavide-dept. sistemas físicos, químicos y naturales, universidad pablo de olavide, spain",1
154,"de-partment of didactics on experimental sciences, faculty of education, university of murcia, murcia, spain",1
155,"dcefa, university of lleida, lleida 25198, spain",1
156,"current address of author charles b. van rees: flathead lake biological station, 32125 bio station ln, polson, montana.",1
157,"crop and forest sciences department, etsea – universitat de lleida. av. rovira roure 191, 25198 lleida, spain.",1
158,"cooperative research, mediterranean agronomic institute of zaragoza (iamz), 50059 zaragoza, spain",1
159,"conservation research group, biodiversity and global change, universidad de extremadura, badajoz, spain",1
160,"conservation biology group. landscape dynamics and biodiversity. forest science and technology centre of catalonia (ctfc), solsona, spain.",1
161,"departament de control i qualitat de les aigües, agència catalana de l’aigua (aca), 08036 barcelona, catalonia, spain",1
162,"departament de ciències ambientals, university of girona, c. maria aurèlia capmany 69, 17003 girona, catalonia, spain",1
163,"departament de ciències ambientals, facultat de ciències, universitat de girona, girona, catalonia, spain",1
164,"departament de ciències ambientals, facultat de ciències, universitat de girona, 17007 girona, spain",1
165,departament de ciències ambientals university of girona  girona catalonia spain,1
166,"departament de ciència política i de l’administració, universitat autònoma de barcelona (uab), 08193 bellaterra, catalonia, spain",1
167,"departament de ciència animal i dels aliments, grup de recerca en remugants, facultat veterinària, universitat autònoma de barcelona, 08193 bellaterra, spain",1
168,"departament de biologia vegetal, biologia animal i ecologia, universitat autònoma de barcelona (uab), 80193 bellaterra, catalonia, spain",1
169,"departament de biologia evolutiva, ecologia i ciències ambientals. institut de recerca de la biodiversitat (irbio), universitat de barcelona, avinguda diagonal 643, 08028 barcelona, catalonia, spain.",1
170,"departament de biologia evolutiva, ecologia i ciències ambientals, universitat de barcelona, facultat de biologia, avinguda diagonal 643, e-08028 barcelona, spain.",1
171,"departament de biologia evolutiva, ecologia i ciències ambientals, universitat de barcelona, facultat de biologia, avinguda diagonal 643, 08028 barcelona, catalonia, spain",1
172,"departament de biologia evolutiva, ecologia i ciències ambientals, universitat de barcelona (ub), 08028 barcelona, catalonia, spain",1
173,"departament de biologia evolutiva, ecologia i ciències ambientals, institut de recerca de la biodiversitat (irbio), universitat de barcelona, facultat de biologia, avinguda diagonal 643, e-08028 barcelona, spain.",1
174,"departament de biologia evolutiva, ecologia i ciències ambientals, facultat de biologia, universitat de barcelona, barcelona, spain",1
175,"departament de biologia evolutiva, ecologia i ciències ambientals, facultat de biologia, universitat de barcelona, av, diagonal, 643, 08028 barcelona, spain",1
176,"departament de biologia evolutiva, ecologia i ciències ambientals, facultat de biologia, universitat de barcelona (ub), avinguda diagonal 643, 08028 barcelona, spain",1
177,"departamento de biodiversidad, ecología y evolución, facultad de ciencias biológicas universidad complutense de madrid  madrid spain",1
178,"departamento de biodiversidad y restauración, instituto pirenaico de ecología (ipe)–csic, zaragoza, spain",1
179,"departamento de biodiversidad y biología evolutiva, museo nacional de ciencias naturales (mncn-csic), madrid, spain",1
180,"departamento de biodiversidad y biología evolutiva, museo nacional de ciencias naturales (mncn)-csic, madrid, spain",1
181,"departamento de biodiversi-dad, ecología y evolución, universidad complutense de madrid, madrid, spain",1
182,"departamento química orgánica y química inorgánica, universidad de alcalá, alcalá de henares, (pza. san diego, s/n\r\n28801 - alcalá de henares (madrid) - spain)",1
183,"departament of crop and forest sciences, university of lleida, av. alcalde rovira roure 191, lleida e-25198, spain",1
184,"departament of crop and forest sciences, university of lleida , av. alcalde rovira roure 191, lleida e-25198 , spain",1
185,"departament of biochemistry and molecular biology, university of murcia, murcia, spain",1
186,"departament of agricultural and forest sciences and engineering, av. alcalde rovira roure 191, lleida 25198, spain",1
187,"departament de producció vegetal i ciència forestal, universitat de lleida, av. rovira roure, 191, e-25198, lleida, spain",1
188,"departament de prehistòria, universitat autònoma de barcelona, bellaterra 08193, spain",1
189,"departament de prehistòria, arqueologia i historia antiga, universitat de valència, valncia 46010, spain",1
190,"departament de geografia, universitat de barcelona (ub), 08001 barcelona, catalonia, spain",1
191,"departament de geografia, universitat autònoma de barcelona (uab), 08193 bellaterra, catalonia, spain",1
192,"departament de genètica i microbiologia, universitat autònoma de barcelona, 08193, bellaterra, catalonia, spain",1
193,"departamento de biología de organismos y sistemas, universidad de oviedo, oviedo, asturias, spain",1
194,"departamento de biología de organismos y sistemas, universidad de oviedo, asturias, spain",1
195,"departamento de biología vegetal, spanish national research council (estación experimental de aula dei - consejo superior de investigaciones científicas, eead-csic), zaragoza 50059, spain",1
196,"departamento de biología vegetal y ecología, universidad de sevilla, sevilla 41004, spain",1
197,"departamento de biología vegetal y ecología, universidad de sevilla, apdo.1905, sevilla 41080, spain",1
198,"departamento de biología vegetal y ecología, universidad de sevilla, 41012, sevilla, spain",1
199,"departamento de biología vegetal y ecología, facultad de ciencia y tecnología, universidad del país vasco upv/ehu, bilbao, spain",1
200,"departamento de biología vegetal y ecología, facultad de biología, 41012, universidad de sevilla, sevilla, spain",1
201,"departamento de biología vegetal (botánica), facultad de biología, universidad de murcia, ceir campus mare nostrum (cmn), campus de espinardo, 30100 murcia, spain",1
202,"departamento de biología animal, biología vegetal y ecología. universidad de jaén, e-23071 spain.",1
203,"departamento de biología animal, biología vegetal y ecología, universidad de jaén, spain",1
204,"departamento de biología animal, biología vegetal y ecología, universidad de jaén, e-23071 spain.",1
205,"departamento de biología ambiental, universidad de navarra, pamplona, spain",1
206,"departamento de biología ambiental, facultad de ciencias, universidad de navarra, calle irunlarrea 1, pamplona 31008, spain",1
207,"departamento de biología (botánica), facultad de ciencias, universidad autónoma de madrid, madrid, spain",1
208,"departamento de biodiversidad, ecología y evolución, universidad complutense de madrid, madrid, spain",1
209,"departamento de ecología de humedales, estación biológica de doñana (ebd)-csic, sevilla, spain",1
210,"departamento de didáctica de las ciencias experimentales, facultad de educación, universidad de murcia, murcia, spain",1
211,"departamento de conservación de suelos y agua, centro de edafología y biología aplicada del segura - consejo superior de investigaciones científicas (cebas-csic), murcia, spain",1
212,"departamento de ciencias, institute for multidisciplinary research in applied biology imab, universidad pública de navarra, pamplona, navarra, spain",1
213,"departamento de ciencias de la vida, universidad de alcalá, alcalá de henares, spain.",1
214,"departamento de ciencias de la vida, universidad de alcalá, alcalá de henares, spain",1
215,"departamento de ciencias integradas, universidad de huelva, huelva, spain",1
216,"departamento de ciencias agroforestales, eifab-iufor, universidad de valladolid, campus duques de soria, 42004 soria, spain",1
217,"departamento de ciencias agrarias y del medio natural, university of zaragoza, spain",1
218,"departamento de botánica, facultad de ciencias universidad de granada  granada spain",1
219,"departamento de biología, área de botánica universidad autónoma de madrid  madrid spain",1
220,"departamento de biología y geología, universidad rey juan carlos, c/ tulipán s/n, e-28933 móstoles, spain",1
221,"departamento de biología y geología, física y química inorgánica universidad rey juan carlos  madrid spain",1
222,"departamento de biología de la conservación, estación biológica de doñana (ebd-csic), sevilla, spain",1
223,"departamento de biología de la conservación, estación biológica de doñana (ebd)–csic, sevilla, spain",1
224,"departamento de biología de la conservación, estación biológica de doñana (ebd)-csic, sevilla, spain",1
225,"departamento de ecología, universidad autónoma de madrid, madrid, spain",1
226,"departamento de ecología y gestión costera, instituto de ciencias marinas de andalucía (icman)–csic, cádiz, spain",1
227,"departamento de ecología e hidrología, facul-tad de biología, universidad de murcia, murcia, spain",1
228,csic cerdanyola del vallés spain,1
229,csic 08193 cerdanyola del vallés spain,1
230,"csic - consejo superior de investigaciones cientificas [españa] = spanish national research council [spain] (serrano 117, 28006, madrid - spain)",1
231,csic  bellaterra barcelona 08193 spain,1
232,"creda-upc-irta. center for agro-food economy and development, parc mediterrani de la tecnologia, edifici esab. c/ esteve terrades, 8, e-08860 castelldefels, barcelona, spain",1
233,"creaf, cerdanyola del valles, catalonia 08193, spain",1
234,"creaf, edifici c. autonomous university of barcelona, 08193 bellaterra, barcelona, spain",1
235,"creaf, e08193, bellaterra (cerdanyola de vallès), catalonia, spain",1
236,"creaf, e08193 bellaterra (cerdanyola del vall`es), catalonia, spain",1
237,"creaf, cerdanyola del vallés, spain",1
238,"creaf, cerdanyola del vallés, 08193 catalonia, spain",1
239,"creaf, cerdanyola del vallés 08193, spain",1
240,"departamento de ecología de humedales, estación biológica de doñana (ebd-csic), sevilla, spain",1
241,"departamento de zooloxía, xenética e antropoloxía física, universidade de santiago de compostela, 15782 santiago de compostela, spain.",1
242,"departamento de zooloxía, xenética e antropoloxía física, universidade de santiago de compostela, 15782 santiago de compostela, spain",1
243,"departamento de zooloxía, xenética e antropoloxía física, facultade de bioloxía, universidade de santiago de compostela, a coruña, spain",1
244,"departamento de zooloxía, xenética e antropoloxía física, facultade de bioloxía, universidade de santiago de com-postela, a coruña, spain",1
245,"departamento de zooloxía, xenética e antropoloxía física universidade de santiago de compostela  santiago de compostela spain",1
246,"departamento de zooloxía, xenética e antropoloxía física universidade de santiago de compostela  santiago de compostela españa",1
247,departamento de zooloxía xenética e antropoloxía física universidade de santiago de compostela  santiago de compostela spain,1
248,"departamento de sistemas y recursos naturales, escuela técnica superior de ingeniería de montes, forestal y del medio natural, universidad politécnica de madrid, ciudad universitaria s/n, 28040 madrid, spain",1
249,"departamento de sistemas físicos, químicos y naturales, universidad pablo de olavide, sevilla, spain",1
250,"departamento de sistemas físicos, químicos y naturales, universidad pablo de olavide, sevilla 41013, spain",1
251,"departamento de sistemas agrícolas , forestales y medio ambiente, , avda. montañana 930, e-50059 zaragoza , spain",1
252,"departamento de producción vegetal, universidad de valladolid, palencia, spain",1
253,"departamento de ingeniería hidr´aulica y medio ambiente, universitat polit´ecnica de valencia, camino de vera s/n, e-46022 valencia, spain (spain)",1
254,"departamento de ingeniería agroforestal, universidad de santiago de compostela, lugo, spain",1
255,departamento de ingeniería agroforestal (eagrof) universidad de lleida  lleida spain,1
256,"departamento de ecosistemas agroforestales, escuela técnica superior de ingeniería agronómica y del medio natural (etsiamn), universitat politècnica de valència (upv), 46022, valencia, spain",1
257,"department of agricultural and forest engineering, university of lleida, alcalde rovira roure 191, 25198 lleida, catalonia, spain",1
258,"department of agricultural and forest engineering, university of lleida, 25198 lleida, spain",1
259,"department of agricultural and forest engineering, universitat de lleida, e25198 lleida, spain",1
260,department of agricultural and forest engineering university of lleida  lleida spain,1
261,"department of agricultural and forest engineering & joint research unit ctfc-agrotecnio-cerca, universitat de lleida, 25198 lleida, spain.",1
262,"department of agricultural and food sciences, university of bologna, bologna, italy",1
263,"department of agricultural sciences and natural environment. university of zaragoza. miguel servet 177, 50013, zaragoza, spain.",1
264,"department of agricultural & forest engineering, university of lleida, spain",1
265,"department of agricultural & forest engineering, universitat de lleida, 25003 lleida, spain",1
266,"department de biologia, sanitat i medi ambient, facultat de farmàcia i ciències de l'alimentació universitat de barcelona barcelona catalonia spain",1
267,"department de biologia, sanitat i medi ambient, facultat de farmàcia i ciències de l'alimentació universitat de barcelona  barcelona catalonia spain",1
268,"department evolutive biology, ecology and environmental science, faculty of biology, university of barcelona, diagonal 643, 08028 barcelona, spain",1
269,"department crop and forest sciences, university of lleida, av. alcalde rovira roure 191, e25198 lleida, spain",1
270,"departamento de zooloxía, xenética e antropoloxía física, universidade de santiago de compostela, santiago de compostela, spain",1
271,"departamento de zooloxía, xenética e antropoloxía física, universidade de santiago de compostela, 15782, santiago de compostela, spain",1
272,"departamento de zooloxía, xenética e antropoloxía física, universidade de santiago de compostela, 15782 santiago, spain",1
273,"department of agricultural and forest sciences and engineering, university of lleida , av. alcalde rovira roure 191, lleida, catalonia e-25198 , spain",1
274,"department of agricultural and forest sciences and engineering, universitat de lleida, spain",1
275,"department of agricultural and forest sciences and engineering, universitat de lleida, lleida, catalonia, spain",1
276,"department of agricultural and forest sciences and engineering, universitat de lleida and joint research unit forest science and technology centre of catalonia - centre of research in agrotechnology (ctfc-agrotecnio), lleida 25198, spain",1
277,"department of agricultural and forest sciences and engineering – jru ctfc-agrotecnio, university of lleida, spain",1
278,department of agricultural and forest sciences and engineering university of lleida  lleida spain,1
279,"department of agricultural and forest sciences and engineering (dcefa), university of lleida, av. alcalde rovira roure 191, e25198 lleida, spain",1
280,"department of agricultural and forest sciences and engineering (dcefa), universitat de lleida, alcalde rovira roure 191, 25198, lleida, catalonia, spain",1
281,"department of agricultural and forest science and engineering, university of lleida, av. alcalde rovira roure 191, lleida, spain",1
282,"department of agricultural and forest science and engineering, university of lleida, av. alcalde rovira roure 191, lleida, 25198, spain",1
283,"department of agricultural and forest science and engineering, university of lleida, av. alcalde rovira roure 191, lleida 25198, spain",1
284,"department of agricultural and forest science and engineering (dcefa), university of lleida, lleida, spain",1
285,"department of agricultural and forest engineering-jru ctfc-agrotecnio, universitat de lleida, 25003 lleida, spain",1
286,"department of agricultural and forest engineering, university of\nlleida, lleida, spain",1
287,"department of agricultural and forest engineering, university of lleida, avenida da rovira roure 191, 25198 lleida, spain",1
288,"department of agricultural and forest engineering, university of lleida, avenida alcalde rovira roure 191, 25198 lleida, spain",1
289,"creaf, cerdanyola del vallés  barcelona spain",1
290,"creaf, cerdanyola del vallès, 08193, barcelona, spain",1
291,"creaf, cerdanyola del vallès 08193, spain",1
292,"creaf, campus de bellaterra (uab), edifici c, 08193 cerdanyola del vallès, spain",1
293,"creaf, bellaterra (cerdanyola del vallès), catalonia, spain",1
294,"creaf, bellaterra (cerdanyola del vallès), catalonia e08193, spain",1
295,"creaf, bellaterra (cerdanyola del vallès) catalonia e08193 spain",1
296,"creaf, bellaterra (cerdanyola del vallès)  catalonia spain",1
297,"creaf, bellaterra (cerdanyola del vallès)  catalonia e08193 spain",1
298,"creaf, barcelona, spain",1
299,"creaf, 08193, bellaterra (cerdanyola del vallès), catalonia, spain",1
300,"creaf, 08193 cerdanyola del vallés, spain",1
301,"department of agricultural and forest sciences and engineering, university of lleida, 25198 lleida, spain; joint research unit ctfc-agrotecnio-cerca, 25198 lleida, spain. electronic address: jonas.oliva@udl.cat.",1
302,"department of agricultural and forest sciences and engineering, university of lleida, 25198 lleida, spain; joint research unit ctfc-agrotecnio-cerca, 25198 lleida, spain.",1
303,"department of agricultural and forest sciences and engineering, university of lleida, 25003 lleida, spain",1
304,"department of agricultural and forest sciences and engineering, university of lleida , lleida , spain",1
